MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Tolerance,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
CL10C100JB8NNNC,Samsung Electro-Mechanics,10p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,10p,50V,±5%,C0G,Compliant,187-CL10C100JB8NNNC,Basic,C1634,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C150JB8NNNC,Samsung Electro-Mechanics,15p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,15p,50V,±5%,C0G,Compliant,187-CL10C150JB8NNNC,Basic,C1644,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C180JB8NNNC,Samsung Electro-Mechanics,18p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,18p,50V,±5%,C0G,Compliant,187-CL10C180JB8NNNC,Basic,C1647,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C200JB8NNNC,Samsung Electro-Mechanics,20p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,20p,50V,±5%,C0G,Compliant,187-CL10C200JB8NNNC,Basic,C1648,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C200JBANNNC,Samsung Electro-Mechanics,20p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,20p,50V,±5%,C0G,Compliant,187-CL21C200JBANNNC,Basic,C1798,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C220JB8NNNC,Samsung Electro-Mechanics,22p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,22p,50V,±5%,C0G,Compliant,187-CL10C220JB8NNNC,Basic,C1653,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C220JBANNNC,Samsung Electro-Mechanics,22p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,22p,50V,±5%,C0G,Compliant,187-CL21C220JBANNNC,Basic,C1804,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C330JB8NNNC,Samsung Electro-Mechanics,33p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,33p,50V,±5%,C0G,Compliant,187-CL10C330JB8NNNC,Basic,C1663,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C470JB8NNNC,Samsung Electro-Mechanics,47p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,47p,50V,±5%,C0G,Compliant,187-CL10C470JB8NNNC,Basic,C1671,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C470JBANNNC,Samsung Electro-Mechanics,47p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,47p,50V,±5%,C0G,Compliant,187-CL21C470JBANNNC,Basic,C14857,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL05C680JB5NNNC,Samsung Electro-Mechanics,68p 50V 10% 0402 C0G MLCC,Device:C,Chip:CAPC1005X55_NOMB,68p,50V,±5%,C0G,Compliant,187-CL05C680JB5NNNC,Preferred,C14441,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C101JB8NNNC,Samsung Electro-Mechanics,100p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,100p,50V,±5%,C0G,Compliant,187-CL10C101JB8NNNC,Basic,C14858,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C101JBANNNC,Samsung Electro-Mechanics,100p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,100p,50V,±5%,C0G,Compliant,187-CL21C101JBANNNC,Basic,C1790,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10B221KB8NNNC,Samsung Electro-Mechanics,220p 50V 10% 0603 X7R MLCC,Device:C,Chip:CAPC1608X90_NOMB,220p,50V,±10%,X7R,Compliant,187-CL10B221KB8NNNC,Basic,C1603,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL05C331JB5NNNC,Samsung Electro-Mechanics,330p 50V 10% 0402 C0G MLCC,Device:C,Chip:CAPC1005X55_NOMB,330p,50V,±5%,C0G,Compliant,187-CL05C331JB5NNNC,Preferred,C13533,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C331JB8NNNC,Samsung Electro-Mechanics,330p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,330p,50V,±5%,C0G,Compliant,187-CL10C331JB8NNNC,Basic,C1664,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10B102KB8NNNC,Samsung Electro-Mechanics,1n 50V 10% 0603 X7R MLCC,Device:C,Chip:CAPC1608X90_NOMB,1n,50V,±10%,X7R,Compliant,187-CL10B102KB8NNNC,Basic,C1588,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10B332KB8NNNC,Samsung Electro-Mechanics,3.3n 50V 10% 0603 X7R MLCC,Device:C,Chip:CAPC1608X90_NOMB,3.3n,50V,±10%,X7R,Compliant,187-CL10B332KB8NNNC,Basic,C1613,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL05B103KB5NNNC,Samsung Electro-Mechanics,10n 50V 10% 0402 X7R MLCC,Device:C,Chip:CAPC1005X55_NOMB,10n,50V,±10%,X7R,Compliant,187-CL05B103KB5NNNC,Basic,C15195,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21B103KBANNNC,Samsung Electro-Mechanics,10n 50V 10% 0805 X7R MLCC,Device:C,Chip:CAPC2012X75_NOMB,10n,50V,±10%,X7R,Compliant,187-CL21B103KBANNNC,Basic,C1710,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10B223KB8NNNC,Samsung Electro-Mechanics,22n 50V 10% 0603 X7R MLCC,Device:C,Chip:CAPC1608X90_NOMB,22n,50V,±10%,X7R,Compliant,187-CL10B223KB8NNNC,Basic,C21122,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21B223KBANNNC,Samsung Electro-Mechanics,22n 50V 10% 0805 X7R MLCC,Device:C,Chip:CAPC2012X75_NOMB,22n,50V,±10%,X7R,Compliant,187-CL21B223KBANNNC,Basic,C1729,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
