MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Tolerance,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
CL05C100JB5NNNC,Samsung Electro-Mechanics,10p 50V 5% 0402 C0G MLCC,Device:C,Chip:CAPC1005X55_NOMB,10p,50V,±5%,C0G,Compliant,187-CL05C100JB5NNNC,Basic,C32949,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C100JB8NNNC,Samsung Electro-Mechanics,10p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,10p,50V,±5%,C0G,Compliant,187-CL10C100JB8NNNC,Basic,C1634,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C120JB8NNNC,Samsung Electro-Mechanics,12p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,12p,50V,±5%,C0G,Compliant,187-CL10C120JB8NNNC,Basic,C38523,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C150JB8NNNC,Samsung Electro-Mechanics,15p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,15p,50V,±5%,C0G,Compliant,187-CL10C150JB8NNNC,Basic,C1644,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CC0805JRNPO9BN150,Yageo,15p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,15p,50V,±5%,C0G,Compliant,603-CC0805JRNPO9BN150,Preferred,C107110,https://www.mouser.co.uk/datasheet/2/447/upy_np0x7r_mv_100_to_630v-3461223.pdf
CL10C180JB8NNNC,Samsung Electro-Mechanics,18p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,18p,50V,±5%,C0G,Compliant,187-CL10C180JB8NNNC,Basic,C1647,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C200JB8NNNC,Samsung Electro-Mechanics,20p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,20p,50V,±5%,C0G,Compliant,187-CL10C200JB8NNNC,Basic,C1648,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C200JBANNNC,Samsung Electro-Mechanics,20p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,20p,50V,±5%,C0G,Compliant,187-CL21C200JBANNNC,Basic,C1798,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C220JB8NNNC,Samsung Electro-Mechanics,22p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,22p,50V,±5%,C0G,Compliant,187-CL10C220JB8NNNC,Basic,C1653,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C220JBANNNC,Samsung Electro-Mechanics,22p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,22p,50V,±5%,C0G,Compliant,187-CL21C220JBANNNC,Basic,C1804,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CC0603JRNPO9BN270,Yageo,27p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,27p,50V,±5%,C0G,Compliant,603-CC0603JRNPO9BN270,Preferred,C107045,https://www.mouser.co.uk/datasheet/2/447/upy_np0x7r_mv_100_to_630v-3461223.pdf
CC0805JRNPO9BN300,Yageo,30p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,30p,50V,±5%,C0G,Compliant,603-CC0805JRNPO9BN300,Preferred,C107114,https://www.mouser.co.uk/datasheet/2/447/upy_np0x7r_mv_100_to_630v-3461223.pdf
CL10C330JB8NNNC,Samsung Electro-Mechanics,33p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,33p,50V,±5%,C0G,Compliant,187-CL10C330JB8NNNC,Basic,C1663,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CC0805JRNPO9BN330,Yageo,33p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,33p,50V,±5%,C0G,Compliant,603-CC0805JRNPO9BN330,Preferred,C107115,https://www.mouser.co.uk/datasheet/2/447/upy_np0x7r_mv_100_to_630v-3461223.pdf
CL10C470JB8NNNC,Samsung Electro-Mechanics,47p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,47p,50V,±5%,C0G,Compliant,187-CL10C470JB8NNNC,Basic,C1671,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C470JBANNNC,Samsung Electro-Mechanics,47p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,47p,50V,±5%,C0G,Compliant,187-CL21C470JBANNNC,Basic,C14857,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C560JB8NNNC,Samsung Electro-Mechanics,56p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,56p,50V,±5%,C0G,Compliant,187-CL10C560JB8NNNC,Preferred,C39148,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL05C680JB5NNNC,Samsung Electro-Mechanics,68p 50V 5% 0402 C0G MLCC,Device:C,Chip:CAPC1005X55_NOMB,68p,50V,±5%,C0G,Compliant,187-CL05C680JB5NNNC,Preferred,C14441,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C680JB8NNNC,Samsung Electro-Mechanics,68p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,68p,50V,±5%,C0G,Compliant,187-CL10C680JB8NNNC,Preferred,C28262,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10C101JB8NNNC,Samsung Electro-Mechanics,100p 50V 5% 0603 C0G MLCC,Device:C,Chip:CAPC1608X90_NOMB,100p,50V,±5%,C0G,Compliant,187-CL10C101JB8NNNC,Basic,C14858,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL21C101JBANNNC,Samsung Electro-Mechanics,100p 50V 5% 0805 C0G MLCC,Device:C,Chip:CAPC2012X75_NOMB,100p,50V,±5%,C0G,Compliant,187-CL21C101JBANNNC,Basic,C1790,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
CL10B221KB8NNNC,Samsung Electro-Mechanics,220p 50V 10% 0603 X7R MLCC,Device:C,Chip:CAPC1608X90_NOMB,220p,50V,±10%,X7R,Compliant,187-CL10B221KB8NNNC,Basic,C1603,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707269996871680
