MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0402WGF0000TCE,Uniroyal Electronics Industry,0R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,0R,50V,62.5mW,±1%,±800ppm/°C,Thick Film,Compliant,303-0402WGF0000TCE,Basic,C17168,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF0000T5E,Uniroyal Electronics Industry,0R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,0R,75V,100mW,±1%,±800ppm/°C,Thick Film,Compliant,303-0603WAF0000T5E,Basic,C21189,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F0000T5E,Uniroyal Electronics Industry,0R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,0R,150V,125mW,±1%,±800ppm/°C,Thick Film,Compliant,303-0805W8F0000T5E,Basic,C17477,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F0000T5E,Uniroyal Electronics Industry,0R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,0R,200V,250mW,±1%,±800ppm/°C,Thick Film,Compliant,303-1206W4F0000T5E,Basic,C17888,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF100KTCE,Uniroyal Electronics Industry,1R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,1R,50V,62.5mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0402WGF100KTCE,Preferred,C25086,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF100KT5E,Uniroyal Electronics Industry,1R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,1R,75V,100mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0603WAF100KT5E,Basic,C22936,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F100KT5E,Uniroyal Electronics Industry,1R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,1R,200V,250mW,±1%,±200ppm/°C,Thick Film,Compliant,303-1206W4F100KT5E,Basic,C17928,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF200KT5E,Uniroyal Electronics Industry,2R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,2R,75V,100mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0603WAF200KT5E,Basic,C22977,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F200KT5E,Uniroyal Electronics Industry,2R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,2R,150V,125mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0805W8F200KT5E,Preferred,C17606,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF220KT5E,Uniroyal Electronics Industry,2.2R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,2.2R,75V,100mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0603WAF220KT5E,Basic,C22939,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F220KT5E,Uniroyal Electronics Industry,2.2R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,2.2R,150V,125mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0805W8F220KT5E,Basic,C17521,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF470KT5E,Uniroyal Electronics Industry,4.7R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,4.7R,75V,100mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0603WAF470KT5E,Basic,C23164,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F470KT5E,Uniroyal Electronics Industry,4.7R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,4.7R,150V,125mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0805W8F470KT5E,Basic,C17675,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F510KT5E,Uniroyal Electronics Industry,5.1R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,5.1R,150V,125mW,±1%,±200ppm/°C,Thick Film,Compliant,303-0805W8F510KT5E,Basic,C17724,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
